UniqueCount	AmbigCount
0	0
0	0
761	3182
479	2457
1184	1591
0	0
1	0
5	0
1	0
0	0
2	0
1	0
0	0
5	0
13	0
0	0
0	0
0	0
0	0
18	1
0	1
5	0
0	0
0	0
9	144
0	88
9	109
0	87
4	38
1	1
7	55
1	55
0	0
0	0
3	0
0	0
0	0
2	0
0	0
1	8
1	0
0	0
0	116
11	1156
211	1697
16	160
0	1096
159	330
48	1278
1	399
16	0
1	788
1099	1100
0	791
0	292
2	242
12	610
0	434
116	99
0	590
765	7546
2	7462
0	1655
279	1
175	1723
52	1706
7	863
0	508
2	381
11	20
0	2
0	0
4	0
1	0
0	0
0	3270
46	5821
253	1065
84	3985
5	900
5	158
500	5005
32	2162
0	0
10	0
1	0
4	1
29	12
1	6
0	13
1	7
0	0
0	0
163	0
0	0
3	170
0	385
195	6808
4	257
0	37
0	2509
0	5869
10	763
0	2421
12	20
10	643
4	27
2	91
5	612
92	25
0	966
252	18
0	15
0	3
0	0
0	3
2	0
235	81
1	5307
0	5296
47	5349
5	36
8	107
19	4059
42	3659
40	434
0	5308
0	154
0	235
0	653
0	297
0	0
0	0
0	305
0	0
0	0
0	0
0	0
1374	6540
90	588
7	70
1	4439
14	1449
34	329
66	6279
28	6022
0	0
356	0
0	502
0	0
0	0
0	0
72	2
1	0
7	0
10	0
0	0
0	0
0	0
0	0
0	0
0	0
2	475
0	512
1	593
9	492
0	113
0	13
0	209
10	241
0	245
1	0
6	6
14	0
0	19
0	0
0	0
0	68
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2006	2
16	186
13	175
0	9
0	15
2	161
2	2
0	2
15	1
0	1
0	1
8	15015
2989	10
0	0
159	143
10	143
0	12
4	21
0	52
6126	9
1	17
0	2
0	1
0	1
0	17
0	1
0	2
20	457
0	457
0	490
3	6
0	370
2	412
1	457
0	20
0	36
0	398
15	13
23	27
0	17
31	35
1	81
0	46
4	53
1	28
1	24
126	582
65	270
1	72
1	308
70	344
0	0
9	18
0	18
0	0
1	3
0	28
2	32
0	18
0	12
0	20
0	0
0	0
326	5133
5	1449
39	3020
0	1266
247	3608
11	583
23	1251
3	2
1	14
263	1802
412	157
0	141
0	454
0	62
34	495
49	578
0	128
0	490
7	111
0	64
56	1576
0	104
516	39
11	127
9	73
52	60
7	31
0	16
0	18
0	435
19	16
12	98
0	20
2	206
0	0
3930	5335
0	387
5	591
60	222
0	27
0	4095
2	71
0	450
3	0
0	6
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	1
2026	1095
1	29
0	397
0	124
0	184
0	201
0	549
0	151
0	0
0	0
0	0
0	776
31	366
5	40
