UniqueCount	AmbigCount
0	0
0	0
732	3207
480	2461
1180	1669
0	0
2	0
1	0
0	0
1	0
1	0
0	0
0	0
4	0
5	0
0	0
0	0
0	0
0	0
14	0
0	0
2	0
0	0
0	0
13	223
0	136
8	174
0	134
4	52
2	3
1	74
0	83
0	0
0	0
2	0
0	0
0	0
1	0
0	0
0	9
0	1
0	0
1	122
2	1261
194	1927
56	173
0	1264
188	401
81	1459
0	403
8	0
0	812
1234	1129
0	814
0	266
0	264
19	598
0	428
46	108
5	604
998	9827
6	9707
0	2231
306	0
220	1555
55	1533
7	756
0	454
0	361
6	22
0	0
0	0
3	0
0	0
0	0
0	4322
48	7573
360	1249
67	5182
2	1063
3	241
493	6382
15	2599
0	0
5	0
0	0
2	1
19	19
0	6
0	18
2	10
0	0
0	0
229	0
0	0
0	180
0	413
226	7552
0	284
0	30
1	2941
0	6449
11	824
0	2589
23	25
6	675
0	14
0	86
2	678
79	41
0	1028
217	13
3	9
0	4
1	0
0	5
0	0
209	97
3	5881
1	5869
56	5923
1	37
9	96
17	4542
72	4084
49	478
0	5882
3	185
1	259
0	706
3	361
1	0
0	0
3	463
0	0
0	0
0	0
0	0
1579	7685
163	676
10	53
0	5281
8	1609
18	324
28	7327
37	6997
0	0
216	0
1	622
0	0
0	0
0	0
40	0
1	0
6	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	294
0	341
0	402
3	312
0	65
0	5
0	133
6	156
0	158
2	0
3	1
4	0
1	15
0	0
0	0
0	84
0	2
0	0
0	0
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1928	2
9	198
7	185
0	9
0	16
1	160
3	1
0	1
1	1
2	1
0	0
14	16275
2150	2
0	0
185	174
14	173
0	27
2	6
0	53
6645	6
0	11
0	2
1	0
0	0
0	10
0	0
0	0
15	447
0	442
0	468
0	4
0	338
0	389
2	449
0	10
1	43
0	382
9	19
8	29
0	16
34	22
0	59
0	37
3	46
4	26
3	20
162	846
56	418
1	94
5	388
108	469
0	0
17	29
0	29
0	0
1	0
1	18
0	19
0	7
3	13
0	16
0	0
0	0
415	5720
1	1684
57	3275
0	1420
206	4018
12	661
8	1322
5	0
0	15
245	1497
196	128
0	108
0	398
1	58
23	433
50	489
0	110
1	422
2	92
0	65
36	1313
0	70
354	31
17	89
3	47
36	39
2	15
0	10
0	16
1	382
11	13
2	84
0	15
0	160
0	0
4388	6289
0	514
6	623
59	250
2	28
0	4865
0	90
0	522
1	0
0	10
2	10
2	0
0	2
0	0
0	0
0	0
0	0
0	0
0	5
0	0
2016	1038
3	23
0	328
0	140
0	168
0	182
0	551
0	139
0	0
0	0
0	0
1	692
16	324
8	40
