UniqueCount	AmbigCount
0	0
0	0
884	3305
515	2593
1157	1639
0	0
0	0
1	0
0	0
2	0
0	0
0	0
0	0
0	0
16	0
0	0
0	0
0	0
0	0
28	3
0	3
3	2
0	0
0	0
23	185
0	112
3	129
2	109
5	56
1	3
3	73
0	67
1	0
0	0
0	0
0	0
0	0
1	0
0	0
2	7
1	0
0	0
0	144
11	1356
260	2047
12	180
0	1328
131	309
63	1454
1	426
16	0
3	906
1439	1246
0	909
0	316
1	277
13	660
0	492
74	104
0	624
907	9205
10	9085
0	1636
255	1
197	1917
53	1903
10	946
3	557
0	432
8	16
0	2
0	0
2	0
0	0
0	0
0	3890
45	6892
350	1229
99	4689
3	973
4	258
614	5950
57	2511
0	0
0	1
1	0
2	2
27	15
0	5
0	13
1	6
0	0
0	0
220	0
0	0
0	188
0	392
247	7869
0	259
0	40
0	2831
0	6834
3	818
1	2899
8	26
0	762
2	19
1	96
13	692
59	21
0	1114
286	17
3	9
0	6
0	0
0	1
0	0
212	95
3	6557
0	6552
79	6633
1	53
13	100
25	4915
78	4398
41	487
0	6557
0	165
0	285
0	799
2	443
1	0
0	1
1	382
0	0
0	0
0	0
0	0
1508	7444
91	595
9	49
1	5140
25	1600
22	331
55	7179
32	6850
0	0
330	1
0	615
0	0
0	0
0	0
62	0
0	0
7	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
0	504
0	575
2	659
9	518
0	114
2	11
0	257
15	231
0	241
0	0
4	4
11	0
0	20
0	0
1	0
0	82
0	1
0	0
0	0
0	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2633	3
22	362
16	342
0	20
0	25
1	292
11	7
1	8
5	4
0	8
0	8
8	16940
4039	6
0	0
185	209
25	209
0	21
5	10
0	58
7448	12
2	12
0	1
2	4
0	2
0	10
0	2
0	0
21	663
0	644
0	704
1	13
0	502
1	602
1	664
0	20
1	56
0	585
6	31
14	46
0	7
17	29
3	64
0	44
1	49
3	31
4	18
157	705
59	346
1	104
5	363
76	402
0	0
8	22
0	22
0	0
0	6
1	18
1	24
0	14
0	10
2	15
0	0
0	0
469	5810
0	1680
57	3414
0	1388
176	3988
22	610
31	1365
4	3
1	17
241	1642
326	141
0	126
0	413
0	61
24	465
60	521
0	130
1	452
7	104
0	71
62	1388
0	94
320	20
7	84
5	49
44	66
1	38
0	13
0	21
0	403
10	8
11	101
0	11
2	196
0	0
4579	6026
0	507
9	658
64	259
0	32
2	4554
0	104
2	495
5	0
0	3
0	3
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	1
2354	1213
0	25
0	403
0	197
0	166
0	210
0	595
0	170
0	0
0	0
0	0
3	965
30	446
7	56
