UniqueCount	AmbigCount
0	0
0	0
713	3075
505	2387
1142	1535
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
8	0
0	0
0	0
0	0
0	0
15	5
0	5
3	4
0	0
0	0
10	202
1	115
4	147
0	125
7	67
2	7
7	79
1	85
0	0
0	0
1	2
0	0
0	0
0	0
0	0
0	4
0	0
0	0
1	103
7	1280
203	1949
24	153
0	1257
147	325
52	1441
0	409
8	0
3	915
1307	1249
0	915
0	307
0	281
15	689
0	461
79	83
1	599
906	9045
5	8953
0	1881
264	0
207	1685
41	1674
6	821
0	502
0	383
2	18
0	5
0	0
0	0
0	0
0	0
0	4067
64	7215
368	1184
70	4930
0	1062
1	196
616	6136
24	2560
0	0
3	0
0	0
2	2
15	20
1	10
0	19
3	9
0	0
0	0
243	0
0	0
0	174
0	415
201	7316
0	281
2	46
0	2786
1	6238
8	814
0	2491
11	14
7	640
0	24
2	88
14	664
76	26
0	1055
228	15
0	10
0	5
0	0
0	3
0	0
206	78
1	6774
0	6768
59	6832
2	38
18	100
14	5153
57	4634
44	487
0	6775
1	217
0	310
0	816
1	435
0	0
0	0
1	433
0	0
0	0
0	0
0	0
1478	7102
99	595
15	56
0	4941
12	1550
15	290
32	6815
26	6474
0	0
227	0
0	587
0	0
0	0
0	0
44	0
0	0
3	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	322
0	354
2	415
16	328
0	76
1	10
0	141
9	146
0	159
4	0
6	1
3	0
1	18
0	0
0	0
0	94
0	2
0	0
0	0
0	10
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1838	0
26	233
6	211
0	5
0	13
0	204
1	1
0	1
6	2
0	1
1	0
10	15598
2738	4
0	0
211	159
13	159
1	11
4	16
0	49
6636	9
0	7
0	0
2	0
0	0
0	7
0	0
0	0
23	402
0	402
0	432
0	8
0	321
0	363
0	406
0	13
0	35
0	355
4	20
6	25
0	17
20	43
0	72
0	60
2	64
3	44
2	8
145	706
50	352
0	83
2	346
109	387
0	0
19	22
0	22
1	0
1	2
0	14
1	15
0	4
1	11
0	8
0	0
0	0
406	5580
2	1556
46	3293
0	1362
177	3906
15	617
14	1336
7	4
1	16
212	1324
197	141
0	122
0	349
0	53
26	352
47	419
0	112
1	365
7	104
0	66
37	1124
0	53
273	25
8	80
5	48
33	60
2	30
0	4
0	21
0	365
2	12
5	80
2	23
3	132
0	0
4457	6243
0	479
3	703
35	234
1	27
0	4796
0	91
0	524
1	0
0	11
7	11
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	12
0	0
2154	1193
1	25
0	463
0	149
0	171
1	179
0	567
0	147
0	0
0	0
0	0
4	801
21	373
10	52
