"gene_id","gene_name","ENTREZID","Fstat.ANOVA","rawP.ANOVA","Del1","Del2","Del3","WT1","WT2","WT3"
"ENSMUSG00000000001.5","Gnai3","14679",-3.99614592786391,0.00396726665032615,7.3359755465965,7.40262437658967,7.29880315067463,7.47610811309591,7.52350113657015,7.54627492908272
"ENSMUSG00000000028.16","Cdc45","12544",-0.356859810072958,0.73042230938718,3.32812604934716,2.95845321736207,3.05385044981522,3.1401583800376,3.14472775315513,3.1482317409616
"ENSMUSG00000000031.17","H19","14955",-3.26784116948295,0.0113855468913741,4.61676889947755,4.25969341710967,4.39640104698489,4.73717736477939,4.55642152794097,4.76016836488105
"ENSMUSG00000000037.18","Scml2","107815",1.29169232927908,0.232513076077377,3.04106143400908,2.61202635610145,2.74584678994942,2.70700738625939,2.70227375615789,2.67258817331814
"ENSMUSG00000000056.8","Narf","67608",-2.85229505475915,0.0213930584174104,5.87243553802826,5.76867386785237,5.89707024698546,6.06413408350425,5.99783664565759,5.90869309808075
"ENSMUSG00000000058.7","Cav2","12390",7.80992886548137,5.17641565568032e-05,4.80265702108959,4.75790501122366,4.7482811357928,4.43842763194213,4.37782654906269,4.26790699812835
"ENSMUSG00000000078.8","Klf6","23849",-1.41964320707277,0.193465148427396,5.64859390383284,5.4843160626222,5.41810189471089,5.56827923060553,5.66217915925101,5.53640862304406
"ENSMUSG00000000085.17","Scmh1","29871",1.41981236033312,0.193417555271828,5.66198993303169,5.69271698861551,5.59907927675781,5.73773446872352,5.57255505758852,5.44331362322475
"ENSMUSG00000000088.8","Cox5a","12858",1.22057733873851,0.256983331716415,6.20833151358058,6.19043383394183,6.03519230083295,6.07421890914565,6.10599598793512,6.06494037207085
"ENSMUSG00000000093.7","Tbx2","21385",1.11984172779266,0.29525776025119,2.03634182950925,2.01099129116887,1.97524245729235,2.12086180381773,1.73286801052453,1.76708935260169
"ENSMUSG00000000094.13","Tbx4","21387",-1.41098232364377,0.19591574479006,-0.776966089013889,-0.920842729300807,-0.840688408306488,-0.465064815736808,-0.30657711164124,-0.875897841283732
"ENSMUSG00000000120.7","Ngfr","18053",-0.987553148206071,0.352281591838932,1.66895763764234,2.35130535170407,1.53219375826658,2.07750380499796,1.85784797340554,2.17901026041445
"ENSMUSG00000000125.6","Wnt3","22415",0.738774972995899,0.481144042800462,1.87430715267483,1.90235013365304,2.05945297788512,1.79909332832122,1.7511758367153,2.04377295776423
"ENSMUSG00000000126.12","Wnt9a","216795",-2.7050185026873,0.0268529426543417,1.58467589718948,1.13363152877145,1.56840773429831,1.6957427495036,2.02396733138292,1.77010158694028
"ENSMUSG00000000127.16","Fer","14158",4.46422305643935,0.00209680440420998,5.10804498066179,5.10674628169675,5.07657592676094,4.98516609660676,4.93124172790795,4.72431414501871
"ENSMUSG00000000131.16","Xpo6","74204",-2.81391215045858,0.0226951477160147,6.83954477865265,7.00984349213263,6.98538917276496,7.05144804578757,7.02767256901714,7.05848088046564
"ENSMUSG00000000134.18","Tfe3","209446",-3.83129652164831,0.00500423908555529,4.93438314153133,5.17173163289945,5.05567729938604,5.16480288746984,5.38780737725722,5.37408677739733
"ENSMUSG00000000142.16","Axin2","12006",1.30262908136546,0.228930139130566,5.78337707763971,5.57067046773847,5.85256321722158,5.58741987797203,5.72719419211968,5.6095056922389
"ENSMUSG00000000148.18","Brat1","231841",0.907148629333939,0.390821742017094,4.97681476295903,4.93989848413203,4.94257338424109,4.9016330617954,4.9848168050795,4.82765332214217
"ENSMUSG00000000149.11","Gna12","14673",-4.22442020771506,0.0028952288790744,7.664599073674,7.73331222325937,7.6234646138339,7.80977255627125,7.82409466914637,7.94539512457283
"ENSMUSG00000000154.17","Slc22a18","18400",0.8706006497626,0.409323431884376,-1.61219108523624,-1.7485383699136,-1.25384685745843,-1.82654133216581,-1.56646884859904,-1.96573078630347
"ENSMUSG00000000159.17","Igsf5","72058",1.89603187473939,0.0945265438710916,-1.50776603921591,-1.33329044565625,-1.49551687692278,-2.29366293579189,-1.60002698971009,-2.14879770223249
"ENSMUSG00000000167.15","Pih1d2","72614",0.694346164150526,0.507115344981759,0.565870337046353,0.906555449383707,0.947018878665653,0.582923481460917,0.859996940900213,0.63888510435983
"ENSMUSG00000000168.11","Dlat","235339",-2.74506785892431,0.0252394536879319,5.71018588837698,5.71283920597268,5.69031161698134,5.76796091166024,5.85056481482837,5.8575768774722
"ENSMUSG00000000171.6","Sdhd","66925",-2.09730575567959,0.0692107485388853,5.85759742492975,5.76627154218158,5.70181113510807,5.81763452294172,5.88173572415724,5.91950457122304
"ENSMUSG00000000184.13","Ccnd2","12444",1.30907903316129,0.22683918795817,8.292354229458,8.26354752619207,8.22183664448321,8.2928627510322,8.24890714755588,8.0984592761761
"ENSMUSG00000000194.14","Gpr107","277463",-0.0682242801210034,0.947280705821667,6.13841406443435,6.1776901380863,6.08900163432258,6.15680593326951,6.20951463215804,6.04754031221009
"ENSMUSG00000000197.9","Nalcn","338370",4.02035816463596,0.00383551303502079,5.61579924722762,5.70070212772111,5.65889047728058,5.48994819342468,5.48921413038936,5.46716176010523
"ENSMUSG00000000202.10","Btbd17","72014",-0.523453275701606,0.614838441573214,4.59530370870988,4.36850828769004,4.58418016810594,4.63358428830706,4.5101497410675,4.52130214558092
"ENSMUSG00000000204.17","Slfn4","20558",0.17395040710509,0.866223636079125,-0.476566926750034,-0.661637800479995,-0.0415142283524115,-0.0055608925477711,-0.640536698572766,-0.673881776947649
"ENSMUSG00000000223.14","Drp2","13497",6.27387167958168,0.000238971885969771,5.99029503484801,6.02293817931685,6.0585821362134,5.83637691592897,5.78178152683542,5.6102295076801
"ENSMUSG00000000247.12","Lhx2","16870",-6.85695619451738,0.000129780568880266,8.30176667489018,8.39485926726813,8.39698886546652,8.57845719835487,8.57324865911563,8.65161470516061
"ENSMUSG00000000253.14","Gmpr","66355",0.00726605020939949,0.994380424324243,3.577343482574,3.60576294813326,3.34709869763474,3.52443770566513,3.59450330030532,3.41084758590176
"ENSMUSG00000000266.12","Mid2","23947",1.31540060767448,0.224805665897734,4.6986199159796,4.66499444087054,4.70738482369361,4.6430972460944,4.664511341674,4.55181203028362
"ENSMUSG00000000275.17","Trim25","217069",-2.87442391130643,0.0206777257475778,3.05474136523724,2.79281017499963,2.81087399031267,3.14462297555776,3.19341595377541,2.99771075678872
"ENSMUSG00000000276.12","Dgke","56077",1.05987498769943,0.320135298684768,6.14213986045633,6.23005823186382,6.22731508233283,6.12829123579352,6.13966981538668,6.20363195602333
"ENSMUSG00000000278.11","Scpep1","74617",0.848447746243848,0.420837290833811,4.09471504720845,3.84519135050566,3.96508720106199,3.99982590446294,3.98326573606287,3.75866776549674
